SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
C77-l,1b,97.05,96.97,Obsidian,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Leaf shaped,Feather,Symmetrical,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,5.94,4.26,6.18,4.6,0.35,,,0.01,None,
C78-b,1b,96.9,96.85,Obsidian,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,3,Along axis side,,,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,5.02,4.42,0.81,,,0.01,None,
C78-c,1b,96.9,96.85,Obsidian,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,Symmetrical,1,Plain,Plain,Not lipped,Yes,Kombewa flake,,Module 0,,,,,No,,No,,,,,,,,,,,,,,3.89,5.94,6.27,3.87,0.63,2.34,0.64,0.01,None,
C78-h,1b,96.99,96.97,Obsidian,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,3,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,6.15,4.26,0.75,3.31,0.89,0.01,None,
C78-o,1b,96.99,96.97,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Leaf shaped,Feather,Symmetrical,2,Convergent side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.64,4.79,6.61,4.64,0.56,,,0.01,None,
C78-p,1b,96.99,96.97,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Concave,Sub rectangular,Feather,Symmetrical,5,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.35,4.91,6.08,4.88,0.59,,,0.01,None,
C78-q,1b,96.99,96.97,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Hinge,Symmetrical,5,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.71,6.4,7.45,5.06,0.54,,,0.01,None,
C78-z,1b,96.99,96.97,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,3,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.33,4.08,5.68,4.3,0.81,1.09,0.28,0.01,None,
C78-b,1b,96.97,96.95,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Convex,Irregular,Feather,A symetric to the right,11,Along axis opposed,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Quina,No,,No,,,,,,,,,,,,,,9.08,9.86,16.19,9.76,2.82,2.78,1.72,0.37,None,
D77-k,1b,97.02,96.97,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Trapezoidal,Feather,Symmetrical,7,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,2.91,3.91,6,3.48,1.53,3.93,1.45,0.01,None,
D78-b,1b,96.98,96.93,Obsidian,Obsidian,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Leaf shaped,Feather,Symmetrical,4,Along axis,Plain,Lipped,Yes,Bladelet,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,6.67,3.29,6.62,3.24,0.52,0.51,0.38,0,None,
A76-18-b,1b,96.94,96.94,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Sub rectangular,Feather,Symmetrical,3,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.26,6.19,6.92,4.41,0.51,1.91,0.52,0.01,None,
A76-23-b,1b,96.91,96.91,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.9,3.82,6.17,5.34,0.33,1.53,0.35,0.01,None,
A76-23-c,1b,96.91,96.91,Obsidian,Obsidian,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Leaf shaped,Feather,A symetric to the left,4,Along axis side,Plain,Lipped,Yes,Bladelet,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,7.01,3.81,8.66,3.6,0.69,2.29,0.88,0.01,None,
A77-32-d,1b,97,97,Obsidian,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Trapezoidal,Feather,Symmetrical,1,Along axis,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Circumference,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,4.19,4.11,5.92,4.18,0.74,3.97,1.31,0.01,None,
A77-32-h,1b,97,97,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,3.62,5.49,7.49,3.63,1.19,1.67,0.9,0.01,None,
A77-32-l,1b,97,97,Obsidian,Obsidian,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Leaf shaped,Feather,A symetric to the right,3,Along axis,Plain,Not lipped,Yes,Bladelet,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,4.31,3.8,7.53,3.72,0.55,3.19,0.73,0.01,None,
A77-32-m,1b,97,97,Obsidian,Obsidian,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Rectangular,Feather,Symmetrical,3,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,8.84,2,8.81,2.07,0.53,1.35,0.87,0.01,None,
A77-60,1b,96.95,96.95,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Leaf shaped,Feather,Symmetrical,5,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,6.71,3.27,6.72,3.82,0.56,2.07,0.62,0.01,None,
A77-40-d,1b,96.98,96.98,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub triangular,Feather,Symmetrical,3,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.43,5.04,7.44,7.93,5.15,,,0.46,None,
A77-40-e,1b,96.98,96.98,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Leaf shaped,Feather,A symetric to the right,3,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,2.93,5.88,5.89,2.94,0.53,1.54,0.63,0.01,None,
A77-40-g,1b,96.98,96.98,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,5,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,6.03,4.55,6.06,4.55,0.43,,,0.01,None,
A78-16-b,1b,96.98,96.98,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,3,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,3.98,5.41,7,4.94,1.18,4.04,0.93,0.01,None,
A79-6-b,1b,97.07,97.07,Obsidian,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Irregular,Feather,A symetric to the right,2,Along axis,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.77,5.38,8.6,5.9,0.54,,,0.01,None,
A79-16,1b,96.89,96.89,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique,Sub rectangular,Feather,Symmetrical,4,Convergent side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,7.88,4.31,7.97,4.26,0.99,,,0.01,None,
B77-45-c,1b,96.95,96.95,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,5,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,9.52,5.45,9.43,6.16,0.55,,,0.01,None,
B77-45-g,1b,96.95,96.95,Obsidian,Obsidian,Kombewa,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,3,Along axis side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,6.31,4.1,0.47,,,0.01,None,
B77-45-i,1b,96.95,96.95,Obsidian,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,A symetric to the left,3,Opposed,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Distal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.79,4.04,8.54,4.03,1.32,3.04,0.79,0.01,None,
B77-45-m,1b,96.95,96.95,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Polyhedral,Oval,Feather,Symmetrical,5,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.27,4.54,5.37,5.31,1.98,0.96,0.56,0.01,None,
B77-25-a,1b,96.99,96.99,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Hinge,Symmetrical,3,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,2.83,6.19,6.11,2.96,0.93,2.2,0.54,0.01,None,
B78-88,1b,96.94,96.94,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Leaf shaped,Feather,Symmetrical,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.53,4.77,7.52,4.9,0.41,,,0.01,None,
B78-63-b,1b,96.98,96.98,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.85,4.94,6.2,4.16,0.7,0.55,0.62,0.01,None,
B79-21-b,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,4,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.86,5.52,7.01,6.24,0.68,3.33,1.24,0.04,None,
B79-21-c,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,2,Side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.4,8,7.96,6.67,1.67,,,0.08,None,
B79-21-d,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Oval,Feather,Symmetrical,4,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.56,6.28,6.66,7.14,0.66,,,0.01,None,
B79-21-g,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,7,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,3.99,5.55,5.82,4.93,0.78,,,0.01,None,
B79-21-h,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,Symmetrical,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,3.74,5.05,5.61,4.78,0.79,,,0.01,None,
B79-21-i,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Leaf shaped,Feather,Symmetrical,3,Convergent,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.03,4.51,5.02,4.9,0.86,,,0.01,None,
B79-21-j,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Irregular,Feather,Symmetrical,3,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,9.18,5.71,9.37,5.49,0.91,1.8,0.88,0.01,None,
B79-21-l,1b,97.02,97.02,Obsidian,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,4,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,6.4,3.92,0.43,,,0.01,None,
B79-21-n,1b,97.02,97.02,Obsidian,Obsidian,Flake,Both lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,2,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,8.27,6.33,0.55,,,0.01,None,
B79-21-o,1b,97.02,97.02,Obsidian,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,2,Convergent,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,7.8,4.92,7.8,5.04,0.61,,,0.01,None,
B79-21-r,1b,97.02,97.02,Obsidian,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,1,Along axis,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,5.81,4.07,5.49,4.1,0.57,,,0.01,None,
B79-21-u,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Trapezoidal,Feather,Symmetrical,3,Convergent,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.96,4.22,5.22,4.82,1.06,2.84,0.88,0.01,None,
B79-21-x,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Sub rectangular,Feather,Symmetrical,3,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.04,3.84,6.24,3.96,0.37,1.46,0.43,0.01,None,
B79-21-y,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Irregular,Irregular,Feather,Symmetrical,3,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,3.57,5.23,5.89,4.38,1.22,2.67,1.16,0.01,None,
B79-7,1b,97.1,97.1,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Irregular,Feather,A symetric to the left,2,Side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.62,5.17,7.63,5.58,1.1,,,0.04,None,
C75-12-b,1b,96.91,96.91,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,4,Side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.74,5.62,6.88,4.9,0.79,4.33,0.72,0.01,None,
C75-13-c,1b,96.91,96.91,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Irregular,Feather,A symetric to the right,4,Side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.27,4.23,6.81,5.47,0.72,,,0.02,None,
C75-13-e,1b,96.91,96.91,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,3,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.52,5.21,5.28,3.66,0.63,1.27,0.49,0.01,None,
C76-66-b,1b,97.06,97.06,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,5,Side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Fine,No,,No,,,,,,,,,,,,,,7.43,2.6,7.32,2.91,1.12,,,0.02,None,Two ventrals
C76-82-a,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Oval,Feather,Symmetrical,1,Side,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.87,9.62,11.69,6.71,1.51,6.54,1.63,0.09,None,
C76-82-b,1b,97.02,97.02,Obsidian,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,4,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,8.22,4.39,0.83,,,0.01,None,
C76-82-c,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,Symmetrical,1,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.72,7.57,7.88,4.44,1.61,6.17,2.09,0.04,None,
C76-82-d,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Oval,Feather,Symmetrical,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.11,4.04,5.49,4.34,0.51,,,0.01,None,
C76-82-g,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Convex,Straight,Oval,Feather,Symmetrical,5,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.15,5.03,6.63,4.26,0.71,0.92,0.7,0.01,None,
C76-82-h,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Trapezoidal,Feather,Symmetrical,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.53,4.63,5.92,4.55,1.16,2.73,0.78,0.01,None,
C76-82-k,1b,97.02,97.02,Obsidian,Obsidian,Kombewa,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,4,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,6.2,4.11,0.54,1.48,0.53,0.01,None,
C76-82-l,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique,Irregular,Feather,Symmetrical,2,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.43,3.78,6.01,4.28,0.85,1.5,0.62,0.01,None,
C76-82-m,1b,97.02,97.02,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Oblique,Oval,Feather,Symmetrical,5,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.64,3.69,5.67,3.81,0.85,1.5,0.61,0.01,None,
C76-82-o,1b,97.02,97.02,Obsidian,Obsidian,Kombewa,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,2,Along axis,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,5.78,5.4,1,,,0.01,None,
C76-82-p,1b,97.02,97.02,Obsidian,Obsidian,Flake,Dist+Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,3,Along axis side,,,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,5.7,3.74,0.71,,,0.01,None,
C76-69-c,1b,97.04,97.04,Obsidian,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Straight,Oblique,Sub rectangular,Feather,Symmetrical,1,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.13,2.58,5.23,2.57,0.69,1.66,0.61,0.01,None,
