SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
A77,1b,97.01,96.99,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,7,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Half quina,,,No,,,,,,,,,,,,,,14.12,12.17,15.02,13.27,2.66,1.5,1.18,,Photo high resolution,
A77,1b,96.95,96.93,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique,Sub rectangular,Feather,Symmetrical,4,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Regular,,,No,,,,,,,,,,,,,,17.12,12.81,16.83,13.31,3.65,8.28,2.62,,None,
B77-25,1b,96.99,96.99,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Sub rectangular,Step,Symmetrical,4,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,,,No,,,,,,,,,,,,,,6.47,3.55,6.72,3.53,0.59,2.51,0.59,,Photo high resolution,
B77,2b,97.39,97.32,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub triangular,Feather,A symetric to the right,5,Side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,7.25,9.31,14.76,8.85,2.1,5.96,2.32,,Photo high resolution,
B77,1b,96.98,96.94,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Sub triangular,Feather,Symmetrical,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Distal and proximal,Dorsal,Flat,,,No,,,,,,,,,,,,,,8.92,5.44,9.86,5.75,0.85,4.37,0.98,,None,
B77-a,1b,97.01,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Trapezoidal,Feather,A symetric to the right,3,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,,,No,,,,,,,,,,,,,,10.18,14.61,16.49,11.28,1.72,8.58,1.88,,Photo high resolution,
B78-a,1b,96.91,96.9,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Oblique,Sub rectangular,Hinge,Symmetrical,5,Along axis,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,10.91,9.98,13.1,10.14,2.46,7.37,1.64,,None,
B78-c,1b,97,96.96,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,1,Plain,Plain,Lipped,Yes,Flake,,Module 0,,Proximal,Dorsal,Regular,,,No,,,,,,,,,,,,,,10.32,4.68,10.18,4.83,0.81,2.14,0.79,0.04,Photo+3d,
C76-b,1b,97.08,97.04,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Irregular,Feather,Symmetrical,5,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Right edge,Dorsal,Flat,,,No,,,,,,,,,,,,,,7.57,5.75,7.5,5.9,1.46,2.88,0.8,0.07,None,
C76-b,1b,97.03,96.96,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Trapezoidal,Feather,A symetric to the right,6,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 4,,Proximal right,Dorsal,Quina,,,No,,,,,,,,,,,,,,14.82,14.9,25.41,12.14,5.11,9.07,4.17,1.51,Photo+3d,Check notes
