SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
J14-1317-1336,3.1,3,99.31,99.28,Geghasar-1,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,Yes,1,Side,,,Yes,Kombewa flake,Pre detachment,Module 1,,Distal right,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,,,16.04,11.8,5.35,,,0.62,None,
J14-1542/1545,3.2,3,99.1,99.08,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,Patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Convex,Convex,Oval,Step,Symmetrical,Yes,2,Along axis side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,11.34,17,17.02,12.91,2.69,,,0.53,None,
J14-b section cleaning ,,,,,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Concave,Irregular,Feather,Symmetrical,,6,Along axis side,Crushed,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,21.14,15.26,22.09,15.57,1.67,,,0.81,None,
J14-c section cleaning,,,,,Geghasar-1,Obsidian,40,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Hinge,,,4,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,,,0,16.88,12.42,16.67,3.53,0.67,None,
J14-d section cleaning,,,,,Geghasar-1,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,Yes,4,Opposed side,Faceted,Lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,13.63,11.45,2.01,5.11,1.52,0.29,None,
K14-1261,3.1,3,99.29,99.29,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Irregular,Feather,A symetric to the left,,8,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,17.3,11.51,21.13,12.9,1.67,4.05,2.16,0.45,None,
L15-1097/1098-b,0.2,0,99.92,99.9,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Straight,Concave,Irregular,Feather,A symetric to the right,,5,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 4,,Proximal right,Dorsal,Flat,No,,No,,,,,,,,,,,,,,7.47,7.58,10.7,7.75,0.67,1.32,1.2,0.07,None,
L15,0.2,0,99.85,99.82,Geghasar-1,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,Yes,5,Convergent side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,,,25.85,14.51,2.03,,,0.78,None,
L15-a,3.1,3,99.48,99.41,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Oblique,Irregular,Feather,Symmetrical,,7,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,14.38,9.22,13.79,9.81,1.14,2.49,1.03,0.22,None,
J14-1036/1047-a,1.4,1,99.62,99.59,Geghasar-2,Obsidian,40,Flake,Complete,Fresh,Calcified,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Leaf shaped,Feather,A symetric to the left,Yes,2,Along axis,Faceted,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,19.31,11.8,24.3,13.77,3.35,5.09,2.5,0.93,None,
J14-1036/1047-c,1.4,1,99.62,99.59,Geghasar-2,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Trapezoidal,Feather,Symmetrical,,4,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,6.72,4.79,7.59,6.77,1,1.8,0.76,0.01,None,
M15-1713/1718-a,0.1,0,100.02,100.01,Geghasar-2,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Sub rectangular,Feather,Symmetrical,Yes,7,Along axis,Plain,Lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,18.16,18.39,18.52,18.39,3.91,7.29,2.65,1.04,Photo+3d,
M15-1713/1718-b,0.1,0,100.02,100.01,Geghasar-2,Obsidian,40,Blade,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Twisted,Leaf shaped,Feather,Symmetrical,,8,Convergent side,Plain,Not lipped,Yes,Blade,Pre detachment,Module 4,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,17.46,7.45,17.82,7.71,2.93,2.57,1.49,0.19,None,
